contributor,first_deposit_time,first_hour,max_single_deposit_eth,final_weight_eth,approx_points,deposit_count
0x57c9ed0d9cbbf4010e2008b43ef40dac9af087d1,2026-08-17 14:47:35.000 UTC,18,100.1,121.7416,11033.7,1
0xe20095f051f86b9e5fea2810f931918efb500d9c,2026-08-17 15:20:59.000 UTC,19,100.1,119.4193,10927.9,1
0xe0d10feedc305ee9b9ae4a3a5f64f1714e051b8f,2026-08-17 14:30:11.000 UTC,18,100.1,122.9428,11088,1
0x23c05bb0d5ec731a2224558d13e1fe0e66d39906,2026-08-17 12:46:11.000 UTC,16,100.1,130.1801,11409.6,1
0x533a98f79609632b1ab23a7610836f019a7a133e,2026-08-17 12:58:35.000 UTC,16,100.1,129.3192,11371.9,1
0x4cda03517b8415880bba16f7028a29bb648aa9f1,2026-08-17 14:42:59.000 UTC,18,100.1,122.0619,11048.2,1
0x3fe0ff739309fc13dcc23c6b563ba60bb1becce9,2026-08-17 15:13:47.000 UTC,19,100,119.8,10945.3,1
0x627bb88b7a458d4f74dad1f12726502b47a57641,2026-08-17 11:45:35.000 UTC,15,100,131.8908,11484.4,2
0xea206a51c4dfb41d483de457c4bc93b10716c72c,2026-08-17 07:06:11.000 UTC,11,100,153.362,12383.9,5
0xaedc235da9d4c281bf86ea4d9c2b53f5e01de7a6,2026-08-17 15:03:23.000 UTC,19,100,120.52,10978.2,1
0x0c242204b795d89fb8274d668a79b1f35ad07909,2026-08-17 14:00:23.000 UTC,18,100,124.89,11175.4,1
0x6acecb929434c8ce8d71624250a68452f050d686,2026-08-17 13:34:59.000 UTC,17,100,126.66,11254.3,1
0xd4b4cab5cf150f46448a8b312cf4d96521953c5f,2026-08-16 21:41:23.000 UTC,1,100,192.0583,13858.5,2
0x58561d96789d9ce58981962b1adacda755b17050,2026-08-17 13:15:59.000 UTC,17,100,127.98,11312.8,1
0x4b3fd3cfc9c37d25c1befeb67a24b7e12ca316dc,2026-08-17 13:22:35.000 UTC,17,100,127.52,11292.5,1
0x00894291491077a1f9793e0c3d7f01f66187e2d3,2026-08-17 06:08:47.000 UTC,10,87.1,118.6555,10892.9,2
0x881b7d4b63f7ec820eca7925c2cb7e98af091161,2026-08-17 04:18:35.000 UTC,8,85.15,125.5125,11203.2,2
0x0022a95a34c0de03b2ffaced0462372197af9e59,2026-08-17 06:03:23.000 UTC,10,85,114.9002,10719.2,2
0x79721a4902433876435be66f86f75f1ce456dac4,2026-08-17 05:51:59.000 UTC,9,79,116.561,10796.3,2
0xe28601398a5448d1147e6e8b0e0c6d686f0d216d,2026-08-16 22:27:59.000 UTC,2,71.7,134.8079,11610.7,8
0xf72d3c9f7100454b248b6976921963816600333d,2026-08-16 23:10:47.000 UTC,3,70,130.669,11431.1,1
0xec34ea3a762b9a8feb69448dbfedac3e624e8c5c,2026-08-16 22:43:35.000 UTC,2,70,131.992,11488.8,1
0x4337abcc609b2a278fff4314830d271b3dbbfab4,2026-08-16 23:22:59.000 UTC,3,70,130.074,11405,1
0x505a05e9caa90d7300c7cf06dc02dde09c6481e5,2026-08-16 23:33:59.000 UTC,3,70,129.542,11381.7,1
0xa7a6c1915d095756d4cc0e21996b075adc9d466a,2026-08-16 23:38:11.000 UTC,3,70,129.339,11372.7,1
0xab052768ac9a632a79ec947fae2965b0aee8a319,2026-08-16 23:13:23.000 UTC,3,70,130.543,11425.5,1
0xeb08c7c00765e5bd51919c3d6bc8094ae6a80ac7,2026-08-16 22:39:47.000 UTC,2,70,132.174,11496.7,1
0x382104726caab17096599b7e1e6316495d820ac1,2026-08-16 23:18:23.000 UTC,3,70,130.298,11414.8,1
0x6caa4c53cbe612dbc00b887a6e84b0e8bc771830,2026-08-16 22:58:59.000 UTC,3,70,131.243,11456.1,1
0xee768fbd287a5e7e40c46cf01dc6c4848bc21d6f,2026-08-16 22:48:59.000 UTC,2,70,131.733,11477.5,1
0x266ce43dc53fa0128d1367e9d70867d1b52ed3d3,2026-08-16 23:08:35.000 UTC,3,70,130.774,11435.6,1
0x7d19ff4f15e11dbe8179a40b7b725d7a22af01d2,2026-08-16 22:34:11.000 UTC,2,70,132.447,11508.6,1
0xd03c069c493f0ad009ad54985d9f9f904cc7613e,2026-08-16 23:19:11.000 UTC,3,70,130.263,11413.3,1
0xe66ed27ca8fc7ce2d5b7e93469d1ce54a652135f,2026-08-16 22:41:23.000 UTC,2,70,132.097,11493.3,1
0x0180e6b83cbee7646e75e3477022857da46ff1da,2026-08-16 23:11:35.000 UTC,3,70,130.634,11429.5,1
0x61d345347acae0b8fe185ca6ec01857da8c23b7e,2026-08-16 22:36:47.000 UTC,2,70,132.321,11503.1,1
